Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0035966,response to topologically incorrect protein,19_GO:0050896 response to stimulus,-3.2,11,5.9,30284,142,81,4,4.9,2.4,3312|7415|10133|10808,HSPA8|VCP|OPTN|HSPH1,-1.2,Down
GO Biological Processes,19,GO:0009152,purine ribonucleotide biosynthetic process,19_GO:0009987 cellular process,-3.2,11,5.9,30284,142,81,4,4.9,2.4,226|2618|4830|8833,ALDOA|GART|NME1|GMPS,-1.2,Down
GO Biological Processes,19,GO:1900024,regulation of substrate adhesion-dependent cell spreading,19_GO:0050789 regulation of biological process,-3.2,18,7,30284,62,81,3,3.7,2.1,81|5034|5879,ACTN4|P4HB|RAC1,-1.2,Down
GO Biological Processes,19,GO:0051604,protein maturation,19_GO:0009987 cellular process,-3.2,4.8,4.6,30284,544,81,7,8.6,3.1,2923|3312|5034|7184|10549|10808|10961,PDIA3|HSPA8|P4HB|HSP90B1|PRDX4|HSPH1|ERP29,-1.2,Down
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-3.2,4.8,4.6,30284,546,81,7,8.6,3.1,81|226|5879|7114|7184|9322|10015,ACTN4|ALDOA|RAC1|TMSB4X|HSP90B1|TRIP10|PDCD6IP,-1.2,Down
GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-3.2,4.8,4.6,30284,547,81,7,8.6,3.1,351|1950|4478|5874|5879|8724|10015,APP|EGF|MSN|RAB27B|RAC1|SNX3|PDCD6IP,-1.2,Down
WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-3.1,10,5.7,30284,150,81,4,4.9,2.4,1950|4478|5879|7114,EGF|MSN|RAC1|TMSB4X,-1.2,Down
GO Biological Processes,19,GO:1901224,positive regulation of non-canonical NF-kappaB signal transduction,19_GO:0048518 positive regulation of biological process,-3.1,17,6.7,30284,66,81,3,3.7,2.1,81|351|7415,ACTN4|APP|VCP,-1.1,Down
GO Biological Processes,19,GO:0051129,negative regulation of cellular component organization,19_GO:0048519 negative regulation of biological process,-3.1,4.1,4.4,30284,730,81,8,9.9,3.3,351|2665|3312|4000|5879|7114|8724|146691,APP|GDI2|HSPA8|LMNA|RAC1|TMSB4X|SNX3|TOM1L2,-1.1,Down
GO Biological Processes,19,GO:1902532,negative regulation of intracellular signal transduction,19_GO:0048519 negative regulation of biological process,-3.1,4.1,4.4,30284,736,81,8,9.9,3.3,3312|5037|7114|7334|7415|10133|23526|51060,HSPA8|PEBP1|TMSB4X|UBE2N|VCP|OPTN|ARHGAP45|TXNDC12,-1.1,Down
GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-3.1,4.6,4.5,30284,566,81,7,8.6,3.1,3312|4000|5874|7184|7415|8775|10961,HSPA8|LMNA|RAB27B|HSP90B1|VCP|NAPA|ERP29,-1.1,Down
GO Biological Processes,19,GO:0062013,positive regulation of small molecule metabolic process,19_GO:0048518 positive regulation of biological process,-3.1,9.5,5.5,30284,157,81,4,4.9,2.4,351|2875|7114|7415,APP|GPT|TMSB4X|VCP,-1.1,Down
GO Biological Processes,19,GO:0009260,ribonucleotide biosynthetic process,19_GO:0009987 cellular process,-3.1,9.5,5.5,30284,158,81,4,4.9,2.4,226|2618|4830|8833,ALDOA|GART|NME1|GMPS,-1.1,Down
WikiPathways,27,WP437,EGF EGFR signaling,,-3.1,9.4,5.5,30284,159,81,4,4.9,2.4,1950|2060|5037|5879,EGF|EPS15|PEBP1|RAC1,-1.1,Down
