Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-3,1.7,3.4,21222,783,565,36,6.4,1,11514|13653|14645|14681|14807|16000|16176|16500|16526|16590|16773|17762|18011|18128|18798|19122|19280|20720|23945|26564|27103|53623|56320|58234|64009|68404|81840|83397|83453|108100|140559|216856|219228|232227|232813|382253,Adcy8|Egr1|Glul|Gnao1|Grik3|Igf1|Il1b|Kcnb1|Kcnk2|Kit|Lama2|Mapt|Neurl1a|Notch1|Plcb4|Prnp|Ptprs|Serpine2|Mgll|Ror2|Eif2ak4|Gria3|Dbn1|Shank3|Syne1|Nrn1|Sorcs2|Akap12|Chrdl1|Baiap2|Igsf8|Nlgn2|Pcdh17|Iqsec1|Shisa7|Cdkl5,-1.4,Down
GO Biological Processes,19,GO:0014015,positive regulation of gliogenesis,19_GO:0032502 developmental process,-2.9,3.5,4.1,21222,97,565,9,1.6,0.53,16000|16176|18088|18128|18208|18606|19317|20720|23966,Igf1|Il1b|Nkx2-2|Notch1|Ntn1|Enpp2|Qki|Serpine2|Tenm4,-1.4,Down
GO Biological Processes,19,GO:0001906,cell killing,19_GO:0009987 cellular process,-2.9,2.6,3.8,21222,203,565,14,2.5,0.65,13226|13237|13239|17110|18780|23855|55985|68009|503491|626708|100038927|100041787|100041952|100294660,Defa31|Defa3|Defa5|Lyz1|Pla2g2a|Defa17|Cxcl13|Defa20|Defa24|Defa26|Defa30|Defa40|Defa34|Defa2,-1.4,Down
GO Biological Processes,19,GO:1903531,negative regulation of secretion by cell,19_GO:0051179 localization,-2.9,2.6,3.8,21222,203,565,14,2.5,0.65,13650|14681|15227|16176|16324|16500|18128|18133|18576|19218|52055|110385|209630|233079,Rhbdf1|Gnao1|Foxf1|Il1b|Inhbb|Kcnb1|Notch1|Ccn3|Pde3b|Ptger3|Rab11fip5|Pde4c|Frmd4a|Ffar2,-1.4,Down
Reactome Gene Sets,6,R-MMU-1482925,Acyl chain remodelling of PG,,-2.9,8.3,5.2,21222,18,565,4,0.71,0.35,18780|18783|26971|99010,Pla2g2a|Pla2g4a|Pla2g2f|Lpcat4,-1.4,Down
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-2.9,1.7,3.4,21222,784,565,36,6.4,1,11514|13653|14645|14681|14807|16000|16176|16500|16526|16590|16773|17762|18011|18128|18798|19122|19280|20720|23945|26564|27103|53623|56320|58234|64009|68404|81840|83397|83453|108100|140559|216856|219228|232227|232813|382253,Adcy8|Egr1|Glul|Gnao1|Grik3|Igf1|Il1b|Kcnb1|Kcnk2|Kit|Lama2|Mapt|Neurl1a|Notch1|Plcb4|Prnp|Ptprs|Serpine2|Mgll|Ror2|Eif2ak4|Gria3|Dbn1|Shank3|Syne1|Nrn1|Sorcs2|Akap12|Chrdl1|Baiap2|Igsf8|Nlgn2|Pcdh17|Iqsec1|Shisa7|Cdkl5,-1.4,Down
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-2.9,1.8,3.4,21222,727,565,34,6,1,11514|13132|13650|14182|14186|14461|14645|14681|15227|16000|16176|16324|16500|16847|18012|18128|18133|18576|18783|19218|19376|21808|23957|52055|66214|68151|77579|104886|110385|209630|216856|219033|233079|245049,Adcy8|Dab2|Rhbdf1|Fgfr1|Fgfr4|Gata2|Glul|Gnao1|Foxf1|Igf1|Il1b|Inhbb|Kcnb1|Lepr|Neurod1|Notch1|Ccn3|Pde3b|Pla2g4a|Ptger3|Rab34|Tgfb2|Nr0b2|Rab11fip5|Rgcc|Wls|Myh10|Rab15|Pde4c|Frmd4a|Nlgn2|Ang4|Ffar2|Myrip,-1.4,Down
GO Biological Processes,19,GO:0060419,heart growth,19_GO:0040007 growth,-2.9,4.3,4.3,21222,61,565,7,1.2,0.47,13609|14182|18128|21808|23966|77446|77579,S1pr1|Fgfr1|Notch1|Tgfb2|Tenm4|Heg1|Myh10,-1.4,Down
GO Biological Processes,19,GO:0042391,regulation of membrane potential,19_GO:0065007 biological regulation,-2.9,1.9,3.5,21222,533,565,27,4.8,0.9,12293|14199|14371|14396|14807|16500|16512|16523|16526|17762|20541|24046|53623|56320|57814|58234|63959|64009|98496|98660|108100|192176|192775|216856|234839|238076|667742,Cacna2d1|Fhl1|Fzd9|Gabra3|Grik3|Kcnb1|Kcnh3|Kcnj8|Kcnk2|Mapt|Slc8a1|Scn11a|Gria3|Dbn1|Kcne4|Shank3|Slc29a1|Syne1|Pid1|Atp1a2|Baiap2|Flna|Kcnh6|Nlgn2|Piezo1|Kcns3|Piezo2,-1.4,Down
GO Biological Processes,19,GO:0071621,granulocyte chemotaxis,19_GO:0040011 locomotion,-2.9,3.8,4.1,21222,79,565,8,1.4,0.5,16176|18578|20254|20292|21808|55985|57257|109700,Il1b|Pde4b|Scg2|Ccl11|Tgfb2|Cxcl13|Vav3|Itga1,-1.4,Down
GO Biological Processes,19,GO:0002792,negative regulation of peptide secretion,19_GO:0051179 localization,-2.9,3.8,4.1,21222,79,565,8,1.4,0.5,14681|16324|16500|18133|18576|19218|110385|233079,Gnao1|Inhbb|Kcnb1|Ccn3|Pde3b|Ptger3|Pde4c|Ffar2,-1.4,Down
GO Biological Processes,19,GO:0033627,cell adhesion mediated by integrin,19_GO:0009987 cellular process,-2.9,6.1,4.7,21222,31,565,5,0.88,0.39,15894|16402|18133|70945|242594,Icam1|Itga5|Ccn3|Mmrn1|Fyb2,-1.4,Down
GO Biological Processes,19,GO:0021602,cranial nerve morphogenesis,19_GO:0032502 developmental process,-2.9,6.1,4.7,21222,31,565,5,0.88,0.39,14634|15410|18187|110532|243743,Gli3|Hoxb3|Nrp2|Adarb1|Plxna4,-1.4,Down
GO Biological Processes,19,GO:0007369,gastrulation,19_GO:0032502 developmental process,-2.9,2.7,3.7,21222,183,565,13,2.3,0.63,12837|13132|14268|15227|16402|19252|20377|22415|23966|59036|68151|71093|106042,Col8a1|Dab2|Fn1|Foxf1|Itga5|Dusp1|Sfrp1|Wnt3|Tenm4|Dact1|Wls|Atoh8|Prickle1,-1.4,Down
GO Biological Processes,19,GO:0035107,appendage morphogenesis,19_GO:0032502 developmental process,-2.9,2.7,3.7,21222,183,565,13,2.3,0.63,14182|14634|18128|18129|18514|21808|22415|23892|26564|68099|106042|240725|380718,Fgfr1|Gli3|Notch1|Notch2|Pbx1|Tgfb2|Wnt3|Grem1|Ror2|Cibar1|Prickle1|Sulf1|Mks1,-1.4,Down
GO Biological Processes,19,GO:0035108,limb morphogenesis,19_GO:0032502 developmental process,-2.9,2.7,3.7,21222,183,565,13,2.3,0.63,14182|14634|18128|18129|18514|21808|22415|23892|26564|68099|106042|240725|380718,Fgfr1|Gli3|Notch1|Notch2|Pbx1|Tgfb2|Wnt3|Grem1|Ror2|Cibar1|Prickle1|Sulf1|Mks1,-1.4,Down
