Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0032787,monocarboxylic acid metabolic process,19_GO:0009987 cellular process,-4.4,3.6,5.2,30284,525,225,14,6.2,1.6,239|242|873|2023|2876|2950|3029|5214|5223|5226|5315|7167|10434|11315,ALOX12|ALOX12B|CBR1|ENO1|GPX1|GSTP1|HAGH|PFKP|PGAM1|PGD|PKM|TPI1|LYPLA1|PARK7,-2.5,down
GO Biological Processes,19,GO:0016052,carbohydrate catabolic process,19_GO:0009987 cellular process,-4.4,7.5,6.3,30284,125,225,7,3.1,1.2,2023|2592|5214|5223|5226|5315|7167,ENO1|GALT|PFKP|PGAM1|PGD|PKM|TPI1,-2.5,down
GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-4.4,3.2,5,30284,667,225,16,7.1,1.7,998|2316|2665|3655|4067|5216|5530|7429|7533|8536|8766|10096|23011|51517|54521|57175,CDC42|FLNA|GDI2|ITGA6|LYN|PFN1|PPP3CA|VIL1|YWHAH|CAMK1|RAB11A|ACTR3|RAB21|NCKIPSD|WDR44|CORO1B,-2.5,down
GO Biological Processes,19,GO:0016236,macroautophagy,19_GO:0009987 cellular process,-4.3,5.5,5.8,30284,222,225,9,4,1.3,5305|7879|10015|51506|51652|55432|55968|81876|643246,PIP4K2A|RAB7A|PDCD6IP|UFC1|CHMP3|YOD1|NSFL1C|RAB1B|MAP1LC3B2,-2.4,down
GO Biological Processes,19,GO:0009137,purine nucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-4.3,13,7.4,30284,53,225,5,2.2,0.98,2023|5214|5223|5315|7167,ENO1|PFKP|PGAM1|PKM|TPI1,-2.4,down
GO Biological Processes,19,GO:0009181,purine ribonucleoside diphosphate catabolic process,19_GO:0009987 cellular process,-4.3,13,7.4,30284,53,225,5,2.2,0.98,2023|5214|5223|5315|7167,ENO1|PFKP|PGAM1|PKM|TPI1,-2.4,down
GO Biological Processes,19,GO:0060368,regulation of Fc receptor mediated stimulatory signaling pathway,19_GO:0002376 immune system process,-4.3,40,11,30284,10,225,3,1.3,0.76,961|4067|26060,CD47|LYN|APPL1,-2.4,down
Reactome Gene Sets,6,R-HSA-9755779,SARS-CoV-2 targets host intracellular signalling and regulatory pathways,,-4.3,40,11,30284,10,225,3,1.3,0.76,7531|7533|7534,YWHAE|YWHAH|YWHAZ,-2.4,down
GO Biological Processes,19,GO:0007015,actin filament organization,19_GO:0009987 cellular process,-4.3,4.8,5.6,30284,278,225,10,4.4,1.4,998|1265|2316|7429|7456|8440|10093|10096|11034|57175,CDC42|CNN2|FLNA|VIL1|WIPF1|NCK2|ARPC4|ACTR3|DSTN|CORO1B,-2.4,down
WikiPathways,27,WP138,Androgen receptor signaling,,-4.3,9.3,6.7,30284,87,225,6,2.7,1.1,998|2316|7329|10399|11034|11315,CDC42|FLNA|UBE2I|RACK1|DSTN|PARK7,-2.4,down
GO Biological Processes,19,GO:2001233,regulation of apoptotic signaling pathway,19_GO:0050896 response to stimulus,-4.3,4,5.3,30284,399,225,12,5.3,1.5,637|1984|2023|2876|2923|2950|3303|3655|8440|10131|10399|11315,BID|EIF5A|ENO1|GPX1|PDIA3|GSTP1|HSPA1A|ITGA6|NCK2|TRAP1|RACK1|PARK7,-2.4,down
GO Biological Processes,19,GO:0097237,cellular response to toxic substance,19_GO:0050896 response to stimulus,-4.3,7.4,6.2,30284,128,225,7,3.1,1.2,2876|2950|7295|9446|9973|10314|11315,GPX1|GSTP1|TXN|GSTO1|CCS|LANCL1|PARK7,-2.4,down
GO Biological Processes,19,GO:0000278,mitotic cell cycle,19_GO:0009987 cellular process,-4.3,3.3,5,30284,603,225,15,6.7,1.7,2316|3611|4659|5515|5530|5777|7329|8766|10015|10383|10726|22919|51119|51652|55968,FLNA|ILK|PPP1R12A|PPP2CA|PPP3CA|PTPN6|UBE2I|RAB11A|PDCD6IP|TUBB4B|NUDC|MAPRE1|SBDS|CHMP3|NSFL1C,-2.4,down
GO Biological Processes,19,GO:0010543,regulation of platelet activation,19_GO:0032501 multicellular organismal process,-4.3,12,7.3,30284,54,225,5,2.2,0.98,239|2316|4067|50848|84959,ALOX12|FLNA|LYN|F11R|UBASH3B,-2.4,down
GO Biological Processes,19,GO:1903169,regulation of calcium ion transmembrane transport,19_GO:0051179 localization,-4.3,6.2,5.9,30284,175,225,8,3.6,1.2,3690|4067|5530|5777|6717|7531|9446|84959,ITGB3|LYN|PPP3CA|PTPN6|SRI|YWHAE|GSTO1|UBASH3B,-2.4,down
