Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-6798695,Neutrophil degranulation,,-19,9,14,30284,435,225,29,13,2.2,327|353|1265|2040|2495|2665|2950|3303|3312|3326|5036|5223|5701|5878|6282|6793|7879|8895|9535|10383|10890|23593|26578|51411|51552|51719|53916|55832|56954,APEH|APRT|CNN2|STOM|FTH1|GDI2|GSTP1|HSPA1A|HSPA8|HSP90AB1|PA2G4|PGAM1|PSMC2|RAB5C|S100A11|STK10|RAB7A|CPNE3|GMFG|TUBB4B|RAB10|HEBP2|OSTF1|BIN2|RAB14|CAB39|RAB4B|CAND1|NIT2,-14,down
GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-13,6.6,11,30284,512,225,25,11,2.1,637|961|998|2316|3303|3987|4478|5216|5305|5345|5515|5899|7122|7429|7879|8440|9647|10015|10096|10399|11315|22919|55832|147381|345456,BID|CD47|CDC42|FLNA|HSPA1A|LIMS1|MSN|PFN1|PIP4K2A|SERPINF2|PPP2CA|RALB|CLDN5|VIL1|RAB7A|NCK2|PPM1F|PDCD6IP|ACTR3|RACK1|PARK7|MAPRE1|CAND1|CBLN2|PFN3,-8.9,down
WikiPathways,27,WP3888,VEGFA VEGFR2 signaling,,-12,6.9,11,30284,432,225,22,9.8,2,813|998|1465|2060|2876|3303|3690|4627|5216|5226|5331|5515|5530|5777|6301|6921|7295|7531|8766|10399|10963|91624,CALU|CDC42|CSRP1|EPS15|GPX1|HSPA1A|ITGB3|MYH9|PFN1|PGD|PLCB3|PPP2CA|PPP3CA|PTPN6|SARS1|ELOC|TXN|YWHAE|RAB11A|RACK1|STIP1|NEXN,-7.9,down
Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-11,5.6,9.8,30284,605,225,25,11,2.1,392|396|397|2010|2040|3326|4627|4659|5216|6793|7531|7533|7534|7879|8440|8997|9352|10093|10096|10383|10672|10726|10963|22919|55968,ARHGAP1|ARHGDIA|ARHGDIB|EMD|STOM|HSP90AB1|MYH9|PPP1R12A|PFN1|STK10|YWHAE|YWHAH|YWHAZ|RAB7A|NCK2|KALRN|TXNL1|ARPC4|ACTR3|TUBB4B|GNA13|NUDC|STIP1|MAPRE1|NSFL1C,-7.6,down
KEGG Pathway,24,hsa04144,Endocytosis,,-11,9.1,11,30284,252,225,17,7.6,1.8,377|381|998|2060|3303|3312|5878|7456|7879|8766|10015|10093|10096|10890|30845|51652|58513,ARF3|ARF5|CDC42|EPS15|HSPA1A|HSPA8|RAB5C|WIPF1|RAB7A|RAB11A|PDCD6IP|ARPC4|ACTR3|RAB10|EHD3|CHMP3|EPS15L1,-7.5,down
Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-11,5.4,9.6,30284,619,225,25,11,2.1,392|396|397|2010|2040|3326|4627|4659|5216|6793|7531|7533|7534|7879|8440|8997|9352|10093|10096|10383|10672|10726|10963|22919|55968,ARHGAP1|ARHGDIA|ARHGDIB|EMD|STOM|HSP90AB1|MYH9|PPP1R12A|PFN1|STK10|YWHAE|YWHAH|YWHAZ|RAB7A|NCK2|KALRN|TXNL1|ARPC4|ACTR3|TUBB4B|GNA13|NUDC|STIP1|MAPRE1|NSFL1C,-7.5,down
GO Biological Processes,19,GO:0042060,wound healing,19_GO:0050896 response to stimulus,-11,7.6,11,30284,335,225,19,8.4,1.9,308|1265|1465|2316|2876|2923|3611|3690|4627|5530|5777|6469|7094|10672|26509|51652|57175|80739|84959,ANXA5|CNN2|CSRP1|FLNA|GPX1|PDIA3|ILK|ITGB3|MYH9|PPP3CA|PTPN6|SHH|TLN1|GNA13|MYOF|CHMP3|CORO1B|MPIG6B|UBASH3B,-7.5,down
Reactome Gene Sets,6,R-HSA-199991,Membrane Trafficking,,-10,5.6,9.4,30284,553,225,23,10,2,377|381|1950|2495|2665|3312|4627|5878|7531|7533|7534|7879|8766|10093|10096|10383|10890|23011|27095|51552|51560|58513|81876,ARF3|ARF5|EGF|FTH1|GDI2|HSPA8|MYH9|RAB5C|YWHAE|YWHAH|YWHAZ|RAB7A|RAB11A|ARPC4|ACTR3|TUBB4B|RAB10|RAB21|TRAPPC3|RAB14|RAB6B|EPS15L1|RAB1B,-7.2,down
GO Biological Processes,19,GO:0070527,platelet aggregation,19_GO:0032501 multicellular organismal process,-10,25,15,30284,48,225,9,4,1.3,1465|2316|2923|3611|3690|4627|5777|7094|84959,CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|TLN1|UBASH3B,-6.9,down
Reactome Gene Sets,6,R-HSA-76002,"Platelet activation, signaling and aggregation",,-10,9.5,11,30284,213,225,15,6.7,1.7,308|1950|3690|3937|5216|5345|6813|7094|7534|7873|10235|10672|29789|80739|259215,ANXA5|EGF|ITGB3|LCP2|PFN1|SERPINF2|STXBP2|TLN1|YWHAZ|MANF|RASGRP2|GNA13|OLA1|MPIG6B|LY6G6F,-6.9,down
Reactome Gene Sets,6,R-HSA-5653656,Vesicle-mediated transport,,-10,5.3,9.1,30284,585,225,23,10,2,377|381|1950|2495|2665|3312|4627|5878|7531|7533|7534|7879|8766|10093|10096|10383|10890|23011|27095|51552|51560|58513|81876,ARF3|ARF5|EGF|FTH1|GDI2|HSPA8|MYH9|RAB5C|YWHAE|YWHAH|YWHAZ|RAB7A|RAB11A|ARPC4|ACTR3|TUBB4B|RAB10|RAB21|TRAPPC3|RAB14|RAB6B|EPS15L1|RAB1B,-6.8,down
GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-9.8,5.4,9,30284,547,225,22,9.8,2,392|396|961|998|1265|1950|3690|4067|4478|5530|6813|7879|8766|10015|10399|10434|11315|23011|26060|51652|53916|54521,ARHGAP1|ARHGDIA|CD47|CDC42|CNN2|EGF|ITGB3|LYN|MSN|PPP3CA|STXBP2|RAB7A|RAB11A|PDCD6IP|RACK1|LYPLA1|PARK7|RAB21|APPL1|CHMP3|RAB4B|WDR44,-6.6,down
GO Biological Processes,19,GO:0009611,response to wounding,19_GO:0050896 response to stimulus,-9.7,6,9.2,30284,448,225,20,8.9,1.9,308|1265|1465|2316|2876|2923|3611|3690|4067|4627|5530|5777|6469|7094|10672|26509|51652|57175|80739|84959,ANXA5|CNN2|CSRP1|FLNA|GPX1|PDIA3|ILK|ITGB3|LYN|MYH9|PPP3CA|PTPN6|SHH|TLN1|GNA13|MYOF|CHMP3|CORO1B|MPIG6B|UBASH3B,-6.6,down
GO Biological Processes,19,GO:0097435,supramolecular fiber organization,19_GO:0009987 cellular process,-9.7,5.1,8.8,30284,608,225,23,10,2,637|998|1155|1265|1465|2010|2316|2318|3326|3854|5345|5573|6469|7094|7429|7456|8440|8766|10093|10096|11034|22919|57175,BID|CDC42|TBCB|CNN2|CSRP1|EMD|FLNA|FLNC|HSP90AB1|KRT6B|SERPINF2|PRKAR1A|SHH|TLN1|VIL1|WIPF1|NCK2|RAB11A|ARPC4|ACTR3|DSTN|MAPRE1|CORO1B,-6.6,down
GO Biological Processes,19,GO:0030029,actin filament-based process,19_GO:0009987 cellular process,-9.6,5,8.7,30284,616,225,23,10,2,998|1265|1465|2316|2318|4627|4637|5216|5573|7094|7429|7456|8440|9260|9322|9535|10015|10093|10096|11034|50848|57175|345456,CDC42|CNN2|CSRP1|FLNA|FLNC|MYH9|MYL6|PFN1|PRKAR1A|TLN1|VIL1|WIPF1|NCK2|PDLIM7|TRIP10|GMFG|PDCD6IP|ARPC4|ACTR3|DSTN|F11R|CORO1B|PFN3,-6.5,down
GO Biological Processes,19,GO:0051051,negative regulation of transport,19_GO:0051179 localization,-9.4,5.8,9,30284,467,225,20,8.9,1.9,392|961|1265|1950|3690|5530|5715|6469|6717|7295|7531|7879|9446|9647|10399|10434|11315|26060|51719|55432,ARHGAP1|CD47|CNN2|EGF|ITGB3|PPP3CA|PSMD9|SHH|SRI|TXN|YWHAE|RAB7A|GSTO1|PPM1F|RACK1|LYPLA1|PARK7|APPL1|CAB39|YOD1,-6.3,down
Reactome Gene Sets,6,R-HSA-8876198,RAB GEFs exchange GTP for GDP on RABs,,-9.3,17,12,30284,81,225,10,4.4,1.4,2665|5878|7531|7879|10890|23011|27095|51552|51560|81876,GDI2|RAB5C|YWHAE|RAB7A|RAB10|RAB21|TRAPPC3|RAB14|RAB6B|RAB1B,-6.3,down
Reactome Gene Sets,6,R-HSA-109582,Hemostasis,,-9.2,5.3,8.6,30284,535,225,21,9.3,1.9,308|1950|3655|3690|3937|5216|5345|5573|6717|6813|7094|7534|7873|10235|10383|10672|29789|30845|50848|80739|259215,ANXA5|EGF|ITGA6|ITGB3|LCP2|PFN1|SERPINF2|PRKAR1A|SRI|STXBP2|TLN1|YWHAZ|MANF|RASGRP2|TUBB4B|GNA13|OLA1|EHD3|F11R|MPIG6B|LY6G6F,-6.1,down
Reactome Gene Sets,6,R-HSA-9007101,Rab regulation of trafficking,,-9.1,13,11,30284,111,225,11,4.9,1.4,2665|5878|7531|7879|8766|10890|23011|27095|51552|51560|81876,GDI2|RAB5C|YWHAE|RAB7A|RAB11A|RAB10|RAB21|TRAPPC3|RAB14|RAB6B|RAB1B,-6.1,down
GO Biological Processes,19,GO:1902905,positive regulation of supramolecular fiber organization,19_GO:0048518 positive regulation of biological process,-9.1,9.9,10,30284,177,225,13,5.8,1.6,961|998|2316|2876|3303|5216|5345|7429|8440|9647|11034|22919|345456,CD47|CDC42|FLNA|GPX1|HSPA1A|PFN1|SERPINF2|VIL1|NCK2|PPM1F|DSTN|MAPRE1|PFN3,-6.1,down
Reactome Gene Sets,6,R-HSA-8873719,RAB geranylgeranylation,,-9,19,13,30284,63,225,9,4,1.3,5878|7879|8766|10890|23011|51552|51560|53916|81876,RAB5C|RAB7A|RAB11A|RAB10|RAB21|RAB14|RAB6B|RAB4B|RAB1B,-6.1,down
GO Biological Processes,19,GO:0030036,actin cytoskeleton organization,19_GO:0009987 cellular process,-9,5.2,8.5,30284,546,225,21,9.3,1.9,998|1265|1465|2316|2318|4627|5216|5573|7094|7429|7456|8440|9260|9322|10015|10093|10096|11034|50848|57175|345456,CDC42|CNN2|CSRP1|FLNA|FLNC|MYH9|PFN1|PRKAR1A|TLN1|VIL1|WIPF1|NCK2|PDLIM7|TRIP10|PDCD6IP|ARPC4|ACTR3|DSTN|F11R|CORO1B|PFN3,-6.1,down
GO Biological Processes,19,GO:0070201,regulation of establishment of protein localization,19_GO:0051179 localization,-9,5.2,8.5,30284,547,225,21,9.3,1.9,998|2010|2040|2316|3312|5530|5573|5715|6469|6717|7203|7295|7531|8536|9520|9647|10059|10399|10434|11315|55432,CDC42|EMD|STOM|FLNA|HSPA8|PPP3CA|PRKAR1A|PSMD9|SHH|SRI|CCT3|TXN|YWHAE|CAMK1|NPEPPS|PPM1F|DNM1L|RACK1|LYPLA1|PARK7|YOD1,-6.1,down
GO Biological Processes,19,GO:0019058,viral life cycle,19_GO:0016032 viral process,-8.9,9.7,10,30284,181,225,13,5.8,1.6,2060|3303|3326|3416|3690|4627|5093|6520|7879|10015|50848|51652|81876,EPS15|HSPA1A|HSP90AB1|IDE|ITGB3|MYH9|PCBP1|SLC3A2|RAB7A|PDCD6IP|F11R|CHMP3|RAB1B,-6.1,down
GO Biological Processes,19,GO:0010638,positive regulation of organelle organization,19_GO:0048518 positive regulation of biological process,-8.9,5.4,8.6,30284,499,225,20,8.9,1.9,637|961|998|1950|2316|3303|4478|5216|5305|5345|5899|7203|7429|8440|9647|10015|10059|11034|22919|345456,BID|CD47|CDC42|EGF|FLNA|HSPA1A|MSN|PFN1|PIP4K2A|SERPINF2|RALB|CCT3|VIL1|NCK2|PPM1F|PDCD6IP|DNM1L|DSTN|MAPRE1|PFN3,-6,down
GO Biological Processes,19,GO:0034109,homotypic cell-cell adhesion,19_GO:0009987 cellular process,-8.8,18,12,30284,66,225,9,4,1.3,1465|2316|2923|3611|3690|4627|5777|7094|84959,CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|TLN1|UBASH3B,-6,down
GO Biological Processes,19,GO:1902903,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-8.8,6,8.8,30284,402,225,18,8,1.8,961|998|2316|2876|3303|3312|5216|5345|7429|8440|9535|9647|11034|11315|22919|50848|57175|345456,CD47|CDC42|FLNA|GPX1|HSPA1A|HSPA8|PFN1|SERPINF2|VIL1|NCK2|GMFG|PPM1F|DSTN|PARK7|MAPRE1|F11R|CORO1B|PFN3,-6,down
GO Biological Processes,19,GO:0007596,blood coagulation,19_GO:0032501 multicellular organismal process,-8.7,9.3,9.9,30284,189,225,13,5.8,1.6,308|1465|2316|2923|3611|3690|4627|5777|6469|7094|10672|80739|84959,ANXA5|CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|SHH|TLN1|GNA13|MPIG6B|UBASH3B,-5.9,down
GO Biological Processes,19,GO:0050817,coagulation,19_GO:0032501 multicellular organismal process,-8.7,9.2,9.8,30284,191,225,13,5.8,1.6,308|1465|2316|2923|3611|3690|4627|5777|6469|7094|10672|80739|84959,ANXA5|CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|SHH|TLN1|GNA13|MPIG6B|UBASH3B,-5.8,down
GO Biological Processes,19,GO:0032386,regulation of intracellular transport,19_GO:0051179 localization,-8.6,7.4,9.2,30284,273,225,15,6.7,1.7,392|998|2010|2316|4478|4659|6469|7295|7531|8536|8766|11315|23011|51652|55432,ARHGAP1|CDC42|EMD|FLNA|MSN|PPP1R12A|SHH|TXN|YWHAE|CAMK1|RAB11A|PARK7|RAB21|CHMP3|YOD1,-5.8,down
KEGG Pathway,24,hsa04810,Regulation of actin cytoskeleton,,-8.6,8.1,9.4,30284,232,225,14,6.2,1.6,998|1950|3655|3674|3690|4478|4627|4659|5216|5305|10093|10096|10672|345456,CDC42|EGF|ITGA6|ITGA2B|ITGB3|MSN|MYH9|PPP1R12A|PFN1|PIP4K2A|ARPC4|ACTR3|GNA13|PFN3,-5.8,down
GO Biological Processes,19,GO:0007599,hemostasis,19_GO:0065007 biological regulation,-8.5,9,9.7,30284,195,225,13,5.8,1.6,308|1465|2316|2923|3611|3690|4627|5777|6469|7094|10672|80739|84959,ANXA5|CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|SHH|TLN1|GNA13|MPIG6B|UBASH3B,-5.8,down
GO Biological Processes,19,GO:0050878,regulation of body fluid levels,19_GO:0065007 biological regulation,-8.5,6.2,8.7,30284,370,225,17,7.6,1.8,239|242|308|1465|2316|2923|3611|3690|4627|5345|5530|5777|6469|7094|10672|80739|84959,ALOX12|ALOX12B|ANXA5|CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|SERPINF2|PPP3CA|PTPN6|SHH|TLN1|GNA13|MPIG6B|UBASH3B,-5.8,down
GO Biological Processes,19,GO:0030168,platelet activation,19_GO:0032501 multicellular organismal process,-8.3,13,11,30284,102,225,10,4.4,1.4,1465|2316|2923|3611|3690|4627|5777|7094|10672|84959,CSRP1|FLNA|PDIA3|ILK|ITGB3|MYH9|PTPN6|TLN1|GNA13|UBASH3B,-5.6,down
Reactome Gene Sets,6,R-HSA-114608,Platelet degranulation,,-8.2,13,10,30284,105,225,10,4.4,1.4,308|1950|3690|5216|5345|6813|7094|7873|29789|259215,ANXA5|EGF|ITGB3|PFN1|SERPINF2|STXBP2|TLN1|MANF|OLA1|LY6G6F,-5.5,down
GO Biological Processes,19,GO:0098609,cell-cell adhesion,19_GO:0009987 cellular process,-8.2,4.9,8,30284,551,225,20,8.9,1.9,961|1465|2316|2923|3611|3655|3674|3690|3987|4478|4627|5777|6282|6793|7094|7122|10890|50848|84959|91624,CD47|CSRP1|FLNA|PDIA3|ILK|ITGA6|ITGA2B|ITGB3|LIMS1|MSN|MYH9|PTPN6|S100A11|STK10|TLN1|CLDN5|RAB10|F11R|UBASH3B|NEXN,-5.5,down
GO Biological Processes,19,GO:0051129,negative regulation of cellular component organization,19_GO:0048519 negative regulation of biological process,-8.2,4.2,7.7,30284,730,225,23,10,2,961|998|1265|2316|2665|2876|3303|3312|3690|5216|5530|7429|7533|7879|9535|10399|11315|22919|26060|50848|54521|57175|81559,CD47|CDC42|CNN2|FLNA|GDI2|GPX1|HSPA1A|HSPA8|ITGB3|PFN1|PPP3CA|VIL1|YWHAH|RAB7A|GMFG|RACK1|PARK7|MAPRE1|APPL1|F11R|WDR44|CORO1B|TRIM11,-5.5,down
GO Biological Processes,19,GO:1903829,positive regulation of protein localization,19_GO:0051179 localization,-8.1,5.1,8,30284,499,225,19,8.4,1.9,998|1950|2010|2040|2316|3326|4478|5573|5715|6469|6717|7203|7429|7531|8536|9520|10059|10399|11315,CDC42|EGF|EMD|STOM|FLNA|HSP90AB1|MSN|PRKAR1A|PSMD9|SHH|SRI|CCT3|VIL1|YWHAE|CAMK1|NPEPPS|DNM1L|RACK1|PARK7,-5.4,down
GO Biological Processes,19,GO:0051223,regulation of protein transport,19_GO:0051179 localization,-8.1,5.4,8.1,30284,449,225,18,8,1.8,998|2010|2316|3312|5530|5573|5715|6469|6717|7295|7531|8536|9647|10059|10399|10434|11315|55432,CDC42|EMD|FLNA|HSPA8|PPP3CA|PRKAR1A|PSMD9|SHH|SRI|TXN|YWHAE|CAMK1|PPM1F|DNM1L|RACK1|LYPLA1|PARK7|YOD1,-5.4,down
GO Biological Processes,19,GO:0032970,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-8,5.7,8.3,30284,398,225,17,7.6,1.8,961|998|1265|2316|3690|4627|5216|5345|6717|7429|8440|9535|9647|11034|50848|57175|345456,CD47|CDC42|CNN2|FLNA|ITGB3|MYH9|PFN1|SERPINF2|SRI|VIL1|NCK2|GMFG|PPM1F|DSTN|F11R|CORO1B|PFN3,-5.4,down
Reactome Gene Sets,6,R-HSA-76005,Response to elevated platelet cytosolic Ca2+,,-8,12,10,30284,110,225,10,4.4,1.4,308|1950|3690|5216|5345|6813|7094|7873|29789|259215,ANXA5|EGF|ITGB3|PFN1|SERPINF2|STXBP2|TLN1|MANF|OLA1|LY6G6F,-5.3,down
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-7.9,4.5,7.7,30284,630,225,21,9.3,1.9,961|998|1672|1950|2316|3312|3655|3674|3690|4067|5216|5530|6282|7329|7429|7803|8766|8895|9647|10059|10399,CD47|CDC42|DEFB1|EGF|FLNA|HSPA8|ITGA6|ITGA2B|ITGB3|LYN|PFN1|PPP3CA|S100A11|UBE2I|VIL1|PTP4A1|RAB11A|CPNE3|PPM1F|DNM1L|RACK1,-5.3,down
GO Biological Processes,19,GO:0016032,viral process,19_GO:0016032 viral process,-7.8,7.1,8.6,30284,266,225,14,6.2,1.6,2060|3303|3326|3416|3690|4627|5093|6520|7879|10015|10605|50848|51652|81876,EPS15|HSPA1A|HSP90AB1|IDE|ITGB3|MYH9|PCBP1|SLC3A2|RAB7A|PDCD6IP|PAIP1|F11R|CHMP3|RAB1B,-5.2,down
GO Biological Processes,19,GO:0044403,biological process involved in symbiotic interaction,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.8,7.1,8.6,30284,267,225,14,6.2,1.6,998|2040|2060|2876|3303|3326|3416|3690|4627|6520|7879|10605|50848|51652,CDC42|STOM|EPS15|GPX1|HSPA1A|HSP90AB1|IDE|ITGB3|MYH9|SLC3A2|RAB7A|PAIP1|F11R|CHMP3,-5.2,down
GO Biological Processes,19,GO:0051495,positive regulation of cytoskeleton organization,19_GO:0048518 positive regulation of biological process,-7.8,8.7,9.1,30284,186,225,12,5.3,1.5,961|998|2316|3303|5216|5345|7429|8440|9647|11034|22919|345456,CD47|CDC42|FLNA|HSPA1A|PFN1|SERPINF2|VIL1|NCK2|PPM1F|DSTN|MAPRE1|PFN3,-5.2,down
GO Biological Processes,19,GO:0032233,positive regulation of actin filament bundle assembly,19_GO:0048518 positive regulation of biological process,-7.8,18,11,30284,61,225,8,3.6,1.2,961|998|2316|5216|5345|7429|9647|345456,CD47|CDC42|FLNA|PFN1|SERPINF2|VIL1|PPM1F|PFN3,-5.2,down
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-7.7,4.4,7.5,30284,646,225,21,9.3,1.9,961|998|1672|1950|2316|3312|3655|3674|3690|4067|5216|5530|6282|7329|7429|7803|8766|8895|9647|10059|10399,CD47|CDC42|DEFB1|EGF|FLNA|HSPA8|ITGA6|ITGA2B|ITGB3|LYN|PFN1|PPP3CA|S100A11|UBE2I|VIL1|PTP4A1|RAB11A|CPNE3|PPM1F|DNM1L|RACK1,-5.1,down
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-7.6,4.5,7.5,30284,600,225,20,8.9,1.9,961|998|1950|2316|3312|3655|3674|3690|4067|5216|5530|6282|7329|7429|7803|8766|8895|9647|10059|10399,CD47|CDC42|EGF|FLNA|HSPA8|ITGA6|ITGA2B|ITGB3|LYN|PFN1|PPP3CA|S100A11|UBE2I|VIL1|PTP4A1|RAB11A|CPNE3|PPM1F|DNM1L|RACK1,-5,down
Reactome Gene Sets,6,R-HSA-1445148,Translocation of SLC2A4 (GLUT4) to the plasma membrane,,-7.5,17,11,30284,65,225,8,3.6,1.2,4627|7531|7533|7534|8766|10383|10890|51552,MYH9|YWHAE|YWHAH|YWHAZ|RAB11A|TUBB4B|RAB10|RAB14,-5,down
GO Biological Processes,19,GO:0007229,integrin-mediated signaling pathway,19_GO:0050896 response to stimulus,-7.4,13,10,30284,94,225,9,4,1.3,961|998|3611|3655|3674|3690|4627|7094|80739,CD47|CDC42|ILK|ITGA6|ITGA2B|ITGB3|MYH9|TLN1|MPIG6B,-4.9,down
Canonical Pathways,11,M186,PID PDGFRB PATHWAY,,-7.3,10,9.3,30284,129,225,10,4.4,1.4,396|3690|4067|5515|7531|7533|7534|8440|10093|10096,ARHGDIA|ITGB3|LYN|PPP2CA|YWHAE|YWHAH|YWHAZ|NCK2|ARPC4|ACTR3,-4.8,down
GO Biological Processes,19,GO:0006897,endocytosis,19_GO:0051179 localization,-7.2,4.8,7.4,30284,508,225,18,8,1.8,998|1265|2060|3690|4067|4627|5878|5899|6469|7879|9260|9322|10059|30845|51411|51517|51552|58513,CDC42|CNN2|EPS15|ITGB3|LYN|MYH9|RAB5C|RALB|SHH|RAB7A|PDLIM7|TRIP10|DNM1L|EHD3|BIN2|NCKIPSD|RAB14|EPS15L1,-4.7,down
WikiPathways,27,WP2359,Parkin ubiquitin proteasomal system pathway,,-7.2,15,10,30284,71,225,8,3.6,1.2,3303|3312|5700|5701|5711|5715|7317|10383,HSPA1A|HSPA8|PSMC1|PSMC2|PSMD5|PSMD9|UBA1|TUBB4B,-4.7,down
Canonical Pathways,11,M124,PID CXCR4 PATHWAY,,-7.2,12,9.6,30284,100,225,9,4,1.3,998|2782|3655|4067|5331|5777|5899|10399|10672,CDC42|GNB1|ITGA6|LYN|PLCB3|PTPN6|RALB|RACK1|GNA13,-4.7,down
Canonical Pathways,11,M164,PID ERBB1 DOWNSTREAM PATHWAY,,-7,12,9.4,30284,105,225,9,4,1.3,998|1950|5037|5515|7531|7533|7534|10093|10096,CDC42|EGF|PEBP1|PPP2CA|YWHAE|YWHAH|YWHAZ|ARPC4|ACTR3,-4.5,down
GO Biological Processes,19,GO:0032231,regulation of actin filament bundle assembly,19_GO:0050789 regulation of biological process,-7,11,9.3,30284,107,225,9,4,1.3,961|998|2316|5216|5345|7429|9647|50848|345456,CD47|CDC42|FLNA|PFN1|SERPINF2|VIL1|PPM1F|F11R|PFN3,-4.4,down
KEGG Pathway,24,hsa05200,Pathways in cancer,,-6.9,4.5,7.1,30284,533,225,18,8,1.8,637|998|1950|2782|2950|3326|3655|3674|5331|5899|6469|6500|6921|6923|9446|10235|10672|26060,BID|CDC42|EGF|GNB1|GSTP1|HSP90AB1|ITGA6|ITGA2B|PLCB3|RALB|SHH|SKP1|ELOC|ELOB|GSTO1|RASGRP2|GNA13|APPL1,-4.4,down
GO Biological Processes,19,GO:0051493,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-6.9,4.5,7.1,30284,539,225,18,8,1.8,961|998|2316|3303|3690|5216|5345|7429|8440|9535|9647|11034|22919|50848|51652|57175|91624|345456,CD47|CDC42|FLNA|HSPA1A|ITGB3|PFN1|SERPINF2|VIL1|NCK2|GMFG|PPM1F|DSTN|MAPRE1|F11R|CHMP3|CORO1B|NEXN|PFN3,-4.4,down
GO Biological Processes,19,GO:0006734,NADH metabolic process,19_GO:0009987 cellular process,-6.8,24,12,30284,33,225,6,2.7,1.1,2023|4190|5214|5223|5315|7167,ENO1|MDH1|PFKP|PGAM1|PKM|TPI1,-4.3,down
GO Biological Processes,19,GO:0110053,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-6.8,6.4,7.8,30284,273,225,13,5.8,1.6,961|998|2316|5216|5345|7429|8440|9535|9647|11034|50848|57175|345456,CD47|CDC42|FLNA|PFN1|SERPINF2|VIL1|NCK2|GMFG|PPM1F|DSTN|F11R|CORO1B|PFN3,-4.3,down
GO Biological Processes,19,GO:0009117,nucleotide metabolic process,19_GO:0009987 cellular process,-6.8,5,7.2,30284,431,225,16,7.1,1.7,271|353|1890|2023|2766|3303|3312|4190|5214|5223|5226|5315|7167|11315|29789|51727,AMPD2|APRT|TYMP|ENO1|GMPR|HSPA1A|HSPA8|MDH1|PFKP|PGAM1|PGD|PKM|TPI1|PARK7|OLA1|CMPK1,-4.3,down
Canonical Pathways,11,M210,PID IL8 CXCR2 PATHWAY,,-6.7,24,11,30284,34,225,6,2.7,1.1,2782|4067|5331|5515|7879|8766,GNB1|LYN|PLCB3|PPP2CA|RAB7A|RAB11A,-4.3,down
KEGG Pathway,24,hsa04820,Cytoskeleton in muscle cells,,-6.7,7,7.9,30284,232,225,12,5.3,1.5,271|1465|2010|2023|2273|2318|3655|3674|3690|4627|7094|9260,AMPD2|CSRP1|EMD|ENO1|FHL1|FLNC|ITGA6|ITGA2B|ITGB3|MYH9|TLN1|PDLIM7,-4.3,down
Reactome Gene Sets,6,R-HSA-9012999,RHO GTPase cycle,,-6.7,5.3,7.3,30284,382,225,15,6.7,1.7,392|396|397|2010|2040|3326|6793|7879|8440|8997|9352|10672|10726|10963|55968,ARHGAP1|ARHGDIA|ARHGDIB|EMD|STOM|HSP90AB1|STK10|RAB7A|NCK2|KALRN|TXNL1|GNA13|NUDC|STIP1|NSFL1C,-4.2,down
GO Biological Processes,19,GO:0051701,biological process involved in interaction with host,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.7,8.9,8.4,30284,151,225,10,4.4,1.4,2060|3303|3326|3416|3690|4627|6520|7879|50848|51652,EPS15|HSPA1A|HSP90AB1|IDE|ITGB3|MYH9|SLC3A2|RAB7A|F11R|CHMP3,-4.2,down
GO Biological Processes,19,GO:0043254,regulation of protein-containing complex assembly,19_GO:0050789 regulation of biological process,-6.7,4.9,7.1,30284,438,225,16,7.1,1.7,637|998|3303|3312|4478|5216|5515|5899|7429|8440|10399|11315|22919|55832|81559|345456,BID|CDC42|HSPA1A|HSPA8|MSN|PFN1|PPP2CA|RALB|VIL1|NCK2|RACK1|PARK7|MAPRE1|CAND1|TRIM11|PFN3,-4.2,down
